profile,profile_label,method,nrmse,nmae,decision_agreement,regret,unsafe_rate,nrmse_ci_low,nrmse_ci_high,agreement_ci_low,agreement_ci_high,fit_seconds,inference_us_per_sample,model_bytes,anchor_fraction
P1,unit/window shift,Direct,0.9358451491101032,0.3713666824566188,0.9038030593355201,0.10635358816970325,0.004535957476751865,0.8023433523543559,1.098449264025164,0.8498809585463946,0.9465147156962163,0.0016136810008902103,0.026921243241030526,251.0,0.1
P1,unit/window shift,Contract,0.8813800357453451,0.3574581215006801,0.9088478234982084,0.10037565089365941,0.007816136749916101,0.7720318222817889,1.0154922332354663,0.870704392701768,0.9444612017931034,0.004677164004533552,0.05756767674624704,1089.0,0.1
P1,unit/window shift,Z-score,0.9822223582863119,0.4133055607447005,0.89384343910017,0.10008768796076775,0.013954294003659077,0.8584659532745923,1.1345120843401377,0.8505441295068399,0.9342977755583519,0.003210836002836004,0.039275047982016455,1046.0,0.1
P1,unit/window shift,CORAL,1.0116279175023173,0.4571171023025599,0.8936269256167928,0.1001829538934537,0.011486040293159257,0.8905889350147226,1.1581406422933558,0.8523954401448889,0.933448790969638,0.0039010650070849806,0.036339363196042966,1043.0,0.1
P1,unit/window shift,Gaussian OT,1.0144341633411709,0.43879938298438625,0.8947203187078475,0.1008130081300813,0.01421411018371169,0.893667032952041,1.1614915917280273,0.851996837292265,0.9344582128351036,0.0038007349940016866,0.034890660668260805,1046.0,0.1
P1,unit/window shift,Anchor ridge,0.7254968079158457,0.3372936660012946,0.9121063514230349,0.10093642081560629,0.00859558529007394,0.645924643453371,0.8188588192985131,0.8744525975836238,0.9466691279547127,0.011232948003453203,0.3069941542281595,3793.0,0.1
P1,unit/window shift,Temporal ridge,0.6863556210349261,0.3133741349517752,0.9162850616522143,0.10024790793846687,0.00848732854838535,0.6140322817596484,0.7684959521928089,0.8805292499020585,0.9498597861528459,0.047804469999391586,0.9412347873318938,12435.0,0.1
P1,unit/window shift,KPM-Bridge,0.665193353699401,0.2770705027213957,0.9161659792363569,0.0975544802052548,0.00849815422255421,0.596253237283599,0.7419691140727622,0.8801081935949712,0.94992321106147,1.7860814190062229,19.82458911143334,1627623.0,0.1
P1,unit/window shift,Vendor retrain,,,0.8883006939257142,0.10071557706256157,0.014690439847141482,,,,,0.13245992299926002,0.14663095276055044,,1.0
P1,unit/window shift,Oracle canonical,0.0,0.0,1.0,0.10020027497212389,0.011919067259913612,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
P2,counter/reset shift,Direct,0.9196439614068677,0.3772352806961788,0.8951533456746019,0.10762235718229353,0.007469715176512617,0.7907899029212286,1.0743745421828605,0.8406563812732899,0.940314575173413,0.0015994690038496628,0.020013791892499334,251.0,0.1
P2,counter/reset shift,Contract,7.952416780076973,1.1100421036008699,0.7760059757721413,0.1356760092234744,0.07420999642752753,5.1477938705542,10.538579007186835,0.744367774679445,0.8079299189532866,0.06663834799837787,0.6460009634719674,1092.0,0.1
P2,counter/reset shift,Z-score,0.975236455036993,0.4638268470129775,0.8694856722202375,0.10398493066155695,0.02166217401188659,0.8506866188462835,1.1322610037815053,0.8205226962095606,0.9179750474984194,0.0031555019959341735,0.039039340447107565,1046.0,0.1
P2,counter/reset shift,CORAL,1.0283239530127408,0.5155549588771982,0.8802572180182521,0.10179814447944747,0.013185671137670099,0.8874703055772736,1.1813074439691635,0.8357911549200583,0.9243437196629173,0.0037946750089759007,0.04080702156162721,1043.0,0.1
P2,counter/reset shift,Gaussian OT,6.812081167338204,2.202712745121079,0.5988871206954413,0.17407034523074924,0.15144035594816668,5.918662207929629,7.906826498036799,0.5454727173058668,0.6513056283833293,0.003774584998609498,0.039195046081831955,1046.0,0.1
P2,counter/reset shift,Anchor ridge,0.7768636060195048,0.39308112100154347,0.8930206878633367,0.10642503761921773,0.01125870113561322,0.6783713431909983,0.9057806319382472,0.8369099249989376,0.9386750861263848,0.07363545600674115,0.9082855162743233,3796.0,0.1
P2,counter/reset shift,Temporal ridge,0.739902232544937,0.36856937757315733,0.8870773927446332,0.10727377047405628,0.015578145128987907,0.6519392583180692,0.852667257737968,0.8307843178561994,0.9331048808142917,0.10844341199845076,1.557026035755543,12438.0,0.1
P2,counter/reset shift,KPM-Bridge,0.6745089326259773,0.28628944243785254,0.9126151581089712,0.09904842324055732,0.008519805570891928,0.6035319042721401,0.7553188720343135,0.8759116137491488,0.9481640799342291,1.84423018299276,22.367261320852236,1580305.0,0.1
P2,counter/reset shift,Vendor retrain,,,0.8588765115347559,0.10760503610362335,0.02406547367737326,,,,,0.14106007298687473,0.1999458282247992,,1.0
P2,counter/reset shift,Oracle canonical,0.0,0.0,1.0,0.10020027497212389,0.011919067259913612,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
